project_id,severity,tag,subtags,description,source
29aba850d512,High,Accounting Error,"['Incorrect Formula', 'State Update Inconsistency']","In RedeemQueue._handleReport(), the function calculates assets as Math.mulDiv(shares, 1 ether, priceD18), which assumes 1 ether shares = 1 asset unit when price is 1 ether. However, based on the Oracle interface comment that 'shares = (assets * priceD18) / 1e18', the correct conversion should be Math.mulDiv(shares, 1 ether, priceD18) for the reverse operation, but this yields assets when it should yield shares for consistency with the stated invariant, causing fundamental accounting misalignment.",llm
29aba850d512,Medium,Access Control,['Invalid Validation'],"In RedeemQueue.claim(), the function removes timestamps from callerRequests without verifying that the request actually belongs to the caller. The function retrieves (bool hasRequest, uint256 shares) from the mapping but then unconditionally calls callerRequests.remove(timestamp) even when hasRequest is false, allowing potential removal of non-existent or unrelated entries in the mapping.",llm
29aba850d512,Medium,Input Validation,"['Invalid Validation', 'Missing Upper/Lower Bound Check']","In Oracle.setSecurityParams(), the function validates that security parameters are non-zero but does not check that suspiciousAbsoluteDeviation <= maxAbsoluteDeviation or that suspiciousRelativeDeviationD18 <= maxRelativeDeviationD18. This allows invalid configurations where suspicious thresholds exceed rejection thresholds, making the deviation validation logic incoherent.",llm
29aba850d512,Medium,DoS,['Invalid Validation'],"In RedeemQueue.claim(), if a batch has shares == 0 (which could occur if all shares were previously claimed), the function will still attempt to call Math.mulDiv(shares, batch.assets, batch.shares), which divides by zero (batch.shares == 0), causing a revert and preventing users from claiming any subsequent requests in the same transaction.",llm
29aba850d512,Medium,Logic error,['Bad Condition'],"In RiskManager.modifyVaultBalance() and modifySubvaultBalance(), the limit check only applies when shares > 0 (shares > 0 && newBalance + $.pendingBalance > $.vaultState.limit). This asymmetric validation allows negative balance modifications to potentially underflow without proper bounds checking, violating the invariant that balances should remain within defined limits.",llm
2cceea6fb3e4,High,Reentrancy,['Violating CEI / Missing nonReentrant'],"In the `_safeTransferFrom` function, the NFT transfer is executed before the onERC721Received callback is invoked. If the recipient is a contract, it can re-enter through other functions like `acceptTrade` or `mint` before the callback completes, allowing manipulation of contract state.",llm
2cceea6fb3e4,High,Access Control,['Invalid Validation'],"In the `acceptTrade` function, the taker parameter is not validated to be non-zero when offer.taker != address(0). A malicious maker can craft an offer with taker set to any address (including the deployer), but msg.sender can still accept it if they match offer.taker, allowing unauthorized ETH transfers.",llm
2cceea6fb3e4,High,Logic error,['Bad Condition'],"In the `randomIndex` function, the nonce increment uses `nonce.add(1)` but does not assign the result back to nonce: `nonce.add(1)` returns a value without modifying nonce. This means nonce never increments, making the randomness predictable and repeatable across mints.",llm
2cceea6fb3e4,High,ERC721,['Violating CEI / Missing nonReentrant'],"In the `safeTransferFrom` and `_safeTransferFrom` functions, state changes (via `_transfer`) occur before the external callback (`onERC721Received`) is executed, violating the Checks-Effects-Interactions pattern and enabling reentrancy attacks.",llm
2cceea6fb3e4,Medium,Input Validation,['Missing Upper/Lower Bound Check'],"In the `getPrice` function, there is no explicit validation that `saleStartTime` is set before calculating `elapsed`. If `startSale` is never called, `saleStartTime` remains 0 and calculations will be incorrect, returning inaccurate prices.",llm
2cceea6fb3e4,Medium,DoS,['State Update Inconsistency'],"In the `acceptTrade` function, if the `_transfer` call fails for any maker or taker token, the function will revert after already deducting ETH from balances. This leaves user funds stuck in the contract with no recovery mechanism.",llm
2cceea6fb3e4,Medium,Logic error,['Implementation Error'],"The `tokenByIndex` function in Enumerable section requires `index > 0 && index < TOKEN_LIMIT`, but the contract's token IDs are generated via `randomIndex()` which returns values in the range [1, TOKEN_LIMIT]. However, this enumerable function doesn't verify the token actually exists (idToOwner[index] != address(0)), allowing invalid token queries.",llm
2cceea6fb3e4,Medium,Accounting Error,['State Update Inconsistency'],"In the `acceptTrade` function, ETH balance updates occur before NFT transfers. If an NFT transfer fails (via `_transfer`), the ETH balances remain modified while no tokens were exchanged, causing a mismatch between recorded balances and actual asset ownership.",llm
2cceea6fb3e4,Low,ERC721,['Not EIP Compliant'],"The `approve` function lacks a check to prevent approving the token owner: `require(_approved != tokenOwner)` has no error message and the condition does not revert, making the function non-compliant with ERC721 best practices for clarity.",llm
2cceea6fb3e4,Low,Input Validation,['Invalid Validation'],"In the `balanceOf` function, the require statement `require(_owner != address(0))` is present but provides no error message, and the check doesn't prevent querying zero address semantically; it just reverts silently.",llm
33f83c1b20b8,High,Access Control,"['Arbitrary Add/Remove/Set/Call', 'Invalid Validation']","The `getBody()` function in CuteBody.sol allows any caller to arbitrarily change the owner of any Body NFT without any ownership or authorization checks. There is no verification that `msg.sender` is the current owner of the body or has permission to transfer it, enabling unauthorized ownership transfers.",llm
33f83c1b20b8,Medium,Input Validation,"['Invalid Validation', 'Missing Upper/Lower Bound Check']","The `createBody()` function accepts an empty string for `_color` without any validation. While not a critical security flaw, the lack of input validation for the color parameter may lead to inconsistent state or unexpected behavior if empty or malicious strings are stored.",llm
347d893744f1,High,Slippage,['Missing minOut / maxAmount'],"In StrategyPassiveManagerUniswap._mintPosition (Velodrome version), the INftPositionManager.MintParams are created with amount0Min and amount1Min set to 0, providing no slippage protection when minting liquidity positions.",llm
347d893744f1,High,Logic error,['Bad Condition'],"In StrategyPassiveManagerVelodrome._addLiquidity, the alternative position is only minted if 'liquidity > 0 && (amount0 > 0 || amount1 > 0)' but the main position requires 'liquidity > 0 && amountsOk', creating inconsistent conditions that could leave the alt position uninitialized when amounts are imbalanced.",llm
347d893744f1,High,Accounting Error,['State Update Inconsistency'],"In StrategyPassiveManagerUniswap.balances(), unharvested fees are subtracted from the total balance calculation, but in StrategyPassiveManagerVelodrome.balances(), unharvested fees are not subtracted, creating an inconsistency in how fee accounting is handled between the two strategy implementations.",llm
347d893744f1,Medium,Input Validation,['Missing Upper/Lower Bound Check'],"In StrategyPassiveManagerUniswap.setDeviation and StrategyPassiveManagerVelodrome.setDeviation, the maxTickDeviation is only checked against an upper bound (4 * tickSpacing) but there is no lower bound check, potentially allowing a value of 0 which could disable the calm period check.",llm
347d893744f1,Medium,Logic error,['Invariant Violation'],"In BeefyVaultConcLiq.deposit and BeefyVaultConcLiq.withdraw, the balances() call uses stale balance data because _after0 and _after1 are captured before strategy.deposit() is called, but the actual token amounts transferred to strategy are not accounted for correctly in the deposit flow.",llm
347d893744f1,Medium,ERC20,['Missing Return Check'],"In StrategyPassiveManagerVelodrome._chargeFees, the VeloSwapUtils.swap function result is not validated, and out is only set if output != native, but if the swap fails or returns zero, nativeEarned calculation could be incorrect.",llm
347d893744f1,Medium,Oracle,['Stale Value'],"In StrategyPassiveManagerUniswap.twap and StrategyPassiveManagerVelodrome.twap, the TWAP calculation relies on observe() but does not validate that the pool has sufficient cardinality or that observations are initialized, potentially using stale or zero data.",llm
347d893744f1,Low,Arithmetic,['Rounding Error'],"In BeefyVaultConcLiq._getTokensRequired, the precision loss in division operations (e.g., '_bal0 * _price / PRECISION') may cause wei-level rounding errors in token calculations, especially with non-standard decimal tokens.",llm
347d893744f1,Low,Logic error,['Missing Functionality'],"In StrategyPassiveManagerVelodrome._addLiquidity, positions are deposited to the gauge only after all liquidity operations complete, but if _addLiquidity is called when positions already exist with nftId != 0, the function creates new positions without handling the old ones.",llm
347d893744f1,Low,Access Control,['Bypass Mechanism'],"In BeefyRewardPool.notifyRewardAmount, the onlyManager modifier checks whitelisted[msg.sender], but the whitelisted mapping can be modified by setWhitelist, and there is no mechanism to prevent a manager from removing themselves before a notification completes.",llm
37dd0c2e7de6,High,Logic error,['Bad Condition'],"In Pool._update(), the cumulativeBalancesRatio calculation uses cached balances that may be stale. When timeElapsed > 0, the function multiplies scaledFYTokenCached (based on old _fyTokenCached) by timeElapsed, but _fyTokenCached represents the previous block's cached value, not the current balance. This causes the TWAR accumulator to diverge from the actual price at the time the update occurred, compromising price integrity.",llm
37dd0c2e7de6,High,Arithmetic,['Precision Loss'],"In YieldMath.sol functions fyTokenOutForBaseIn, baseOutForFYTokenIn, fyTokenInForBaseOut, and baseInForFYTokenOut, the VAR constant (1e12) is subtracted from or added to results to account for logarithm imprecision. However, the subtraction/addition is unconditional and does not scale with the token decimals or magnitude of the result, leading to incorrect precision adjustments for tokens with non-standard decimals or very large/small amounts.",llm
37dd0c2e7de6,High,Input Validation,['Missing Upper/Lower Bound Check'],"In Ladle.serve(), the function passes art (amount of fyToken to borrow) directly to _pour() without validating that it respects the minimum debt dust limit defined in Cauldron. A user could borrow an amount below the dust threshold, violating the protocol's debt management invariants.",llm
37dd0c2e7de6,Medium,Logic error,['State Update Inconsistency'],"In Strategy.startPool(), the baseToPool calculation uses (baseBalance * baseInPool) / (baseInPool + fyTokenInPool), which rounds down, while fyTokenToPool is calculated as baseBalance - baseToPool, which rounds up. This asymmetry can cause the total deposited (baseToPool + fyTokenToPool) to exceed baseBalance if baseBalance is large relative to pool reserves, violating the invariant that total deposits should not exceed available funds.",llm
37dd0c2e7de6,Medium,Accounting Error,['State Update Inconsistency'],"In Ladle._pour(), when art > 0 (borrowing), a fee is calculated based on (series.maturity - block.timestamp) and added to the debt. However, if called multiple times in the same transaction or batch, each call recalculates the fee independently without accounting for previously accrued fees, potentially double-charging fees when multiple borrows are bundled.",llm
37dd0c2e7de6,Medium,Logic error,['Bad Condition'],"In Witch.buy(), the dust check `require (ink == balances_.ink || balances_.ink - ink >= ilk_.dust, 'Leaves dust')` allows leaving exactly zero dust, but the protocol's debt accounting in Cauldron.pour() requires that `balances_.art == 0 || balances_.art >= dust`. If a vault is liquidated leaving exactly dust amount of collateral, a future attempt to add debt may fail due to the minimum debt requirement, creating an inconsistent state.",llm
37dd0c2e7de6,Medium,Reentrancy,['Violating CEI / Missing nonReentrant'],"In FYToken.redeem(), the function calls join.exit() to transfer tokens before updating user state (burning fyTokens). Although it updates the supply via _burn after the external call, the brief window where balances are updated before the ERC20 transfer completes could expose the contract to reentrancy if the underlying token implements hooks (e.g., ERC777).",llm
37dd0c2e7de6,Medium,Access Control,['Centralization Risk'],"In Pool.setParameter(), the owner can unilaterally modify k, g1, and g2 parameters without any time lock, rate limits, or governance delay. This allows sudden changes to trading mechanics and slippage calculations that could harm users with pending transactions.",llm
37dd0c2e7de6,Low,Logic error,['Missing Functionality'],"In Ladle.batch(), after executing batched calls via delegatecall, the cachedVaultId is unconditionally deleted. However, if a batched call creates a vault via build() and then immediately uses it via another call, the cache deletion at the end may prevent subsequent batch operations from referencing the newly created vault, forcing users to explicitly pass the vaultId even though it was just created.",llm
37dd0c2e7de6,Low,Input Validation,['Invalid Validation'],"In Cauldron.build(), the requirement `require (ilks[seriesId][ilkId] == true, 'Ilk not added to series')` does not validate that the seriesId itself is non-zero or exists in the series mapping. While the error message will be misleading if an invalid seriesId is passed, a zero-valued seriesId could bypass this check if ilks mapping defaults are not properly initialized.",llm
4bea68ae8bc5,High,Access Control,['Missing Initialization'],"In Product.sol, the initialize() function does not verify that the caller is the Factory contract before initializing critical state. While UFactoryProvider__initialize is called with msg.sender, there is no validation that msg.sender is actually the Factory, allowing any caller to initialize the product with an arbitrary provider.",llm
4bea68ae8bc5,High,Accounting Error,['State Update Inconsistency'],"In Product.sol's settleAccountInternal() function, the order of operations creates a state inconsistency: incentivizer.syncAccount() is called after accumulator syncTo() but before position settlement. If incentivizer.syncAccount() modifies state based on the pre-settlement position, this creates a mismatch where the incentivizer sees position state that hasn't yet been settled.",llm
4bea68ae8bc5,High,Logic error,['Invalid Validation'],"In Collateral.sol's liquidate() function, the liquidation fee calculation uses UFixed18Lib.min(totalCollateral, totalMaintenance.mul(liquidationFee)), but there is no check that the fee does not exceed the total maintenance amount. If totalCollateral is very large, the fee could be incorrect, and the liquidated account's collateral could be improperly allocated.",llm
4bea68ae8bc5,High,Logic error,['Bad Condition'],"In PrePosition.sol's oracleVersionToSettle() function, the check 'if (next == 1) return current;' handles the case where oracleVersion is 0 (no pre position), but when next > current, it returns current instead of the next version. This causes settlements to be delayed by one version in certain conditions, affecting position settlement timing.",llm
4bea68ae8bc5,High,Accounting Error,['Incorrect Formula'],"In VersionedAccumulator.sol's accumulateShare() function, the accumulated share is calculated as elapsed / position size. However, if a position size becomes zero mid-period, this calculation will revert with a division-by-zero error, preventing any further settlements for that product.",llm
4bea68ae8bc5,Medium,Logic error,['State Update Inconsistency'],"In Incentivizer.sol's sync() function, programs are marked complete based on programInfo.isComplete(currentTimestamp), but the completion version is set to product.latestVersion() at that moment. If sync() is called multiple times in the same block, the version could be set inconsistently across calls, creating divergence in program completion states.",llm
4bea68ae8bc5,Medium,Accounting Error,['Invalid Validation'],"In Collateral.sol's settleAccount() function, negative amounts (Fixed18) are directly applied to the account balance via _products[product].settleAccount(account, amount). There is no validation that the resulting balance cannot go below zero in cases of unexpected state, potentially allowing accounts to have negative collateral balances.",llm
4bea68ae8bc5,Medium,Input Validation,['Missing Upper/Lower Bound Check'],"In Factory.sol's createProduct() function, the controllerId == 0 check prevents the default controller from creating products, but allowed[0] is checked without verifying that allowed[controllerId] is properly initialized. The logic 'if (!allowed[0] && !allowed[controllerId])' could allow uninitialized controllers to create products if allowed[0] is true.",llm
4bea68ae8bc5,Medium,Logic error,['Stale Value'],"In VersionedAccumulator.sol's accumulateFunding() function, the funding rate is calculated using provider.priceAtVersion(self.latestVersion), which is the price at the previous settlement version. If prices change significantly between versions, this introduces staleness in the funding calculation, potentially unfairly distributing funding costs.",llm
4bea68ae8bc5,Medium,Accounting Error,['Bad Condition'],"In Product.sol's settleInternal() function, when oracleVersionPreSettle == oracleVersionCurrent, the second accumulate and settle calls are skipped. However, this short-circuit could miss scenarios where the global position needs to be stamped even if there is no pre-position to settle, resulting in missing accumulator values for certain oracle versions.",llm
4bea68ae8bc5,Medium,Logic error,['Invalid Validation'],"In Program.sol's unsettled() function, the check 'if (userLatestVersion == 0) return (UFixed18Lib.ZERO, latestVersion);' assumes that version 0 always indicates uninitialized state. However, if a user's position is legitimately synced to version 0 in edge cases, rewards would be incorrectly zeroed out.",llm
4dd1b2af57b2,High,Input Validation,"['Invalid Validation', 'Missing Upper/Lower Bound Check']","In Mint.sol's _newLiquidity function, the require statement 'require(params.debtIn > params.assetIn, 'E516')' does not validate that debtIn and assetIn are positive non-zero values before performing calculations. Additionally, MintMath.givenNew is called without bounds checking on the computed yIncrease and zIncrease values, which could result in invalid pool state initialization.",llm
4dd1b2af57b2,High,Input Validation,"['Invalid Validation', 'Missing Upper/Lower Bound Check']","In Borrow.sol's _borrowGivenDebt function, the require statement 'require(params.debtIn > params.assetOut, 'E518')' enforces a relationship between debtIn and assetOut, but does not validate that assetOut is within acceptable bounds relative to pool reserves or that it is positive before being used in pair.givenDebt.",llm
4dd1b2af57b2,Medium,Logic error,"['Bad Condition', 'Invalid Validation']","In Lend.sol's _lendGivenBond function, the require statement 'require(params.bondOut > params.assetIn, 'E517')' checks the relationship between bondOut and assetIn, but the validation is applied after the pair.givenBond call in _lendGivenBond. The condition does not prevent scenarios where bondOut could be unreasonably large relative to pool state or assetIn.",llm
4dd1b2af57b2,High,Logic error,"['Implementation Error', 'State Update Inconsistency']","In TimeswapPair.sol's pay function, the loop updates due.debt and due.collateral directly without verifying that the sum of assetIn across all iterations matches the actual callback payment. If PayMath.checkProportional validation is insufficient, the pool state could become inconsistent with actual token transfers.",llm
4dd1b2af57b2,Medium,Access Control,"['Invalid Validation', 'Missing Functionality']","In TimeswapPair.sol's mint function, there is no mechanism to prevent or limit the protocol fee allocation to factory.owner(). An attacker or compromised factory could potentially claim disproportionate amounts of liquidity through the fee mechanism without bounds.",llm
4dd1b2af57b2,Medium,Input Validation,"['Hardcoded Parameter', 'Invalid Validation']","In Borrow.sol's _borrowGivenPercent function, the require statement 'require(params.percent <= 0x100000000, 'E505')' validates the percent parameter, but there is no lower bound check to prevent percent from being zero or extremely small, which could result in invalid debt/collateral ratios.",llm
4dd1b2af57b2,Medium,Input Validation,"['Hardcoded Parameter', 'Invalid Validation']","In Lend.sol's _lendGivenPercent function, the require statement 'require(params.percent <= 0x100000000, 'E505')' validates only the upper bound. A percent value of 0 could be passed, leading to zero yDecrease and zDecrease, which violates the subsequent pair.lend checks for xIncrease > 0 but not for meaningful state changes.",llm
4dd1b2af57b2,Medium,Accounting Error,"['Bad Condition', 'State Update Inconsistency']","In TimeswapPair.sol's pay function, collateral is transferred only if collateralOut > 0, but the pool state is updated regardless. If PayMath.checkProportional allows edge cases where collateralOut is zero but debt is repaid, the pool reserve accounting and actual collateral balance could diverge.",llm
4dd1b2af57b2,High,ERC20,"['Missing Return Check', 'State Update Inconsistency']","In TimeswapPair.sol's burn and borrow functions, safeTransfer is used for asset and collateral transfers, but there is no explicit check that the balances match expectations after the transfer. If safeTransfer fails silently or reverts, the state updates (reserves decrement) have already occurred, creating an inconsistency.",llm
4dd1b2af57b2,Medium,Logic error,"['Bad Condition', 'Missing Upper/Lower Bound Check']","In TimeswapConvenience.sol's timeswapMintCallback, timeswapLendCallback, and timeswapBorrowCallback functions, there is no validation that assetIn, collateralIn, or collateralIn are non-zero or within expected ranges before performing WETH deposits and transfers. This could allow callbacks with invalid amounts to execute.",llm
4dd1b2af57b2,Medium,Logic error,"['Invariant Violation', 'State Update Inconsistency']","In TimeswapPair.sol's lend function, pool.state.x, pool.state.y, and pool.state.z are updated after Callback.lend is invoked. If the callback reverts, the state updates do not occur, but if it partially succeeds before reverting, the pool could be left in an inconsistent state due to reentrancy or external call side effects.",llm
50015cf871a0,High,Logic error,"['Incorrect Parameter', 'Invalid Validation']","In LpIssuer._chargeFees(), when isWithdraw is true, baseSupply is set to 0 if supply <= deltaSupply, but this causes incorrect fee calculations. The function should calculate baseSupply as supply - deltaSupply only when supply > deltaSupply, otherwise it should handle the edge case properly. This leads to potential incorrect fee minting when a complete withdrawal occurs.",llm
50015cf871a0,High,Logic error,['Bad Condition'],"In LpIssuer._chargeFees(), the performance fee logic returns early if any token's lpPrice <= hwm, but it should continue checking all tokens. The early return at line prevents performance fee charging even when other tokens have appreciated, violating the intended fee structure where all tokens must appreciate for the fee to apply.",llm
50015cf871a0,Medium,Logic error,['State Update Inconsistency'],"In LpIssuer.deposit(), the function charges fees using pre-deposit TVL values (tvl) and post-deposit supply/token amounts, but _chargeFees uses baseTvl which is set to tvl directly for deposits. This creates an inconsistency where management fees are calculated on incorrect TVL values when deposits occur.",llm
50015cf871a0,Medium,Accounting Error,['Incorrect Formula'],"In LpIssuer._getLpAmount(), when supply == 0, the function returns max(amounts) as the initial LP amount. However, this doesn't account for existential amounts properly - tokens below their existential threshold should not be considered, creating incorrect initialization if one token is below existential but provided in large amounts.",llm
50015cf871a0,Medium,Logic error,['Invalid Validation'],"In LpIssuer._getBalancedAmount(), when tvl != 0 and amount < existential, the function requires tvl == 0, but this check is too strict. It prevents legitimate deposits where only one token amount is below existential, while the other tokens have normal TVL.",llm
50015cf871a0,Low,Input Validation,['Missing Upper/Lower Bound Check'],"In LpIssuerGovernance.stageDelayedStrategyParams(), management fee and performance fee are validated against max limits, but there is no check that they are non-negative or that the treasury addresses are not zero addresses before encoding.",llm
50015cf871a0,Medium,Access Control,['Invalid Validation'],"In Vault.reclaimTokens(), the function allows pulling reclaimed tokens to any destination if the caller is the protocol admin, but does not verify that the destination is a valid address or check if the tokens being reclaimed are actually vault tokens that shouldn't be reclaimed.",llm
50015cf871a0,Medium,Logic error,['Invalid Validation'],"In UniV3Vault.onERC721Received(), the function checks if the previous position has zero liquidity and zero tokensOwed before accepting a new position, but it transfers the old NFT to the 'from' address without verifying that 'from' is authorized or that this transfer is secure.",llm
529b81f6eb01,High,Accounting Error,['Fee On Transfer Token'],"In `CErc20.doTransferIn()`, the function calculates actual transferred amount using balance difference, which correctly handles fee-on-transfer tokens. However, in `Comptroller.mintAllowed()`, when checking supply cap for non-native assets, the function adds `mintAmount` to `nextTotalSupplies` without accounting for potential fees. If a fee-on-transfer token is used, the actual amount added to the market will be less than `mintAmount`, causing the supply cap check to be overly restrictive and potentially preventing legitimate mints.",llm
529b81f6eb01,High,Logic error,['State Update Inconsistency'],"In `Comptroller.mintAllowed()`, for native asset (cSonic), the code skips adding `mintAmount` to `nextTotalSupplies` with the comment 'Don't add mintAmount since cToken.getCashPrior() already includes it (double counting issue)'. However, `getCashPrior()` in CSonic returns `address(this).balance - msg.value`, which excludes the current transaction's value. This means native asset supply cap enforcement is incorrect, as the value being added is not properly accounted for in the cap calculation.",llm
529b81f6eb01,Medium,Input Validation,['Missing Upper/Lower Bound Check'],"In `BaseJumpRateModelV2.updateJumpRateModelInternal()`, the interest rate model parameters (`baseRatePerYear`, `multiplierPerYear`, `jumpMultiplierPerYear`) are not validated for upper bounds. Extremely large values could be set by the owner, causing overflow in interest rate calculations and leading to incorrect borrow/supply rates. The division by `timestampsPerYear` and `kink_` also lacks overflow/underflow protection.",llm
529b81f6eb01,Medium,DoS,['Out of Gas'],"In `Comptroller.exitMarket()`, the function iterates through `accountAssets[msg.sender]` to find and remove the exiting market. If a user has entered a very large number of markets, this iteration could consume excessive gas and potentially cause out-of-gas failures. An unbounded array growth without removal mechanism creates a DoS risk for users with many market memberships.",llm
529b81f6eb01,Medium,Access Control,['Centralization Risk'],"In `Comptroller`, the `pauseGuardian` role can pause minting and borrowing, but the pause can only be lifted by the admin. Additionally, the pause guardian can only pause operations (set state to true), but cannot unpause (set state to false) unless they are also the admin. This creates a potential centralization risk where the pause guardian could indefinitely halt market operations if administrative recovery is delayed.",llm
529b81f6eb01,Medium,Oracle,['Stale Value'],"In `API3Oracle.getPrice()`, the function calls `_getLatestPrice()` which reads from the API3 proxy but does not verify the freshness of the price data. There is no timestamp check or staleness validation. An outdated price from the API3 proxy could be used in critical lending decisions without detection, leading to incorrect liquidations or minting limits.",llm
529b81f6eb01,Medium,Arithmetic,['Precision Loss'],"In `BaseJumpRateModelV2.updateJumpRateModelInternal()`, the calculation `baseRatePerTimestamp = ((baseRatePerYear * BASE) / timestampsPerYear) / BASE` performs redundant division operations that could result in precision loss. The expression simplifies to `baseRatePerYear / timestampsPerYear`, but the double division may lose intermediate precision in fixed-point arithmetic.",llm
529b81f6eb01,Medium,Logic error,['Bad Condition'],"In `CErc20.mintAsCollateral()` and `CSonic.mintAsCollateral()`, after calling `mintInternal()`, the function checks if the user is already in the market using `comptroller.checkMembership()`. However, `mintInternal()` calls `comptroller.mintAllowed()` which may have already added the user to the market via `addToMarketInternal()` if they weren't already a member. This creates a race condition where the isCollateral check may be stale, potentially entering the market twice (though benign due to idempotency).",llm
529b81f6eb01,Low,ERC20,['Missing Return Check'],"In `CSonic.sweepToken()`, the function calls `token.transfer(admin, balance)` without checking the return value. If the token is non-standard and returns false on failure instead of reverting, the sweep could silently fail. However, this is mitigated by the fact that only whitelisted tokens are expected.",llm
529b81f6eb01,Low,Upgradeable,['Storage Gap'],"The `ComptrollerV2Storage` and related storage contracts do not include storage gaps for future upgrades. If new state variables are added to the Comptroller implementation in a future upgrade, they could overwrite storage slots used by derived contracts or create misalignment issues in the upgradeable proxy pattern.",llm
668a8ea1ed7c,High,Logic error,"['Invalid Validation', 'State Update Inconsistency']","In AmirX.stablecoinSwap(), the origin token amount is dynamically recalculated from the wallet balance difference only when defiSwap is executed and the origin is not an XYZ token. However, the initial stablecoin swap validation in _verifyStablecoin() uses the original ss.oAmount without accounting for this dynamic recalculation, causing the min/max supply limits checked to be based on incorrect amounts.",llm
668a8ea1ed7c,High,Access Control,['Asset Theft'],"In BridgeRelay.erc20Rescue(), the function uses a hardcoded OWNER_ADDRESS constant for authorization instead of a mutable owner state variable or proper access control pattern. This prevents ownership transfer and makes the rescue function permanently bound to the hardcoded address, potentially locking funds if the private key is lost.",llm
668a8ea1ed7c,High,ERC20,['Missing Return Check'],"In AmirX._feeDispersal(), the call to defi.plugin.increaseClaimableBy() checks the return value with require(), but no validation is performed on the referrer address or plugin address beyond null checks in _verifyDefi(). If the plugin contract is malicious or incorrectly implements the interface, the referral fee transfer could silently fail or be mishandled.",llm
668a8ea1ed7c,High,Logic error,['Invalid Validation'],"In StablecoinHandler.UpdateXYZ(), the function allows setting maxLimit and minLimit with only a check that maxLimit > minLimit, but does not validate that these limits are non-zero. This permits creating invalid token configurations with zero limits that could bypass intended supply constraints.",llm
